ID	group	value	time	liking
103	1	deval	pre	3
103	1	val	pre	4
103	1	hunger	pre	4
103	1	deval	post	-2
103	1	val	post	4
103	1	hunger	post	4
103	1	deval	afterExperiment	0
103	1	val	afterExperiment	5
103	1	hunger	afterExperiment	5
104	1	deval	pre	2
104	1	val	pre	3
104	1	hunger	pre	7
104	1	deval	post	-4
104	1	val	post	2
104	1	hunger	post	5
104	1	deval	afterExperiment	-4
104	1	val	afterExperiment	2
104	1	hunger	afterExperiment	4
106	1	deval	pre	5
106	1	val	pre	4
106	1	hunger	pre	7
106	1	deval	post	1
106	1	val	post	5
106	1	hunger	post	3
106	1	deval	afterExperiment	0
106	1	val	afterExperiment	3
106	1	hunger	afterExperiment	3
107	1	deval	pre	1
107	1	val	pre	2
107	1	hunger	pre	8
107	1	deval	post	-5
107	1	val	post	4
107	1	hunger	post	6
107	1	deval	afterExperiment	-4
107	1	val	afterExperiment	3
107	1	hunger	afterExperiment	5
108	1	deval	pre	4
108	1	val	pre	3
108	1	hunger	pre	7
108	1	deval	post	0
108	1	val	post	3
108	1	hunger	post	5
108	1	deval	afterExperiment	2
108	1	val	afterExperiment	2
108	1	hunger	afterExperiment	6
110	1	deval	pre	4
110	1	val	pre	5
110	1	hunger	pre	9
110	1	deval	post	1
110	1	val	post	3
110	1	hunger	post	4
110	1	deval	afterExperiment	-5
110	1	val	afterExperiment	-5
110	1	hunger	afterExperiment	5
113	1	deval	pre	2
113	1	val	pre	4
113	1	hunger	pre	7
113	1	deval	post	0
113	1	val	post	2
113	1	hunger	post	6
113	1	deval	afterExperiment	0
113	1	val	afterExperiment	2
113	1	hunger	afterExperiment	6
114	1	deval	pre	4
114	1	val	pre	5
114	1	hunger	pre	9
114	1	deval	post	-2
114	1	val	post	1
114	1	hunger	post	3
114	1	deval	afterExperiment	-1
114	1	val	afterExperiment	1
114	1	hunger	afterExperiment	4
115	1	deval	pre	3
115	1	val	pre	2
115	1	hunger	pre	4
115	1	deval	post	-3
115	1	val	post	4
115	1	hunger	post	2
115	1	deval	afterExperiment	2
115	1	val	afterExperiment	3
115	1	hunger	afterExperiment	3
117	1	deval	pre	4
117	1	val	pre	2
117	1	hunger	pre	9
117	1	deval	post	-2
117	1	val	post	4
117	1	hunger	post	9
117	1	deval	afterExperiment	1
117	1	val	afterExperiment	5
117	1	hunger	afterExperiment	9
118	1	deval	pre	2
118	1	val	pre	2
118	1	hunger	pre	3
118	1	deval	post	1
118	1	val	post	2
118	1	hunger	post	5
118	1	deval	afterExperiment	1
118	1	val	afterExperiment	2
118	1	hunger	afterExperiment	5
119	1	deval	pre	4
119	1	val	pre	4
119	1	hunger	pre	7
119	1	deval	post	-2
119	1	val	post	4
119	1	hunger	post	6
119	1	deval	afterExperiment	-2
119	1	val	afterExperiment	5
119	1	hunger	afterExperiment	7
120	1	deval	pre	3
120	1	val	pre	5
120	1	hunger	pre	7
120	1	deval	post	-4
120	1	val	post	5
120	1	hunger	post	7
120	1	deval	afterExperiment	-2
120	1	val	afterExperiment	5
120	1	hunger	afterExperiment	6
121	1	deval	pre	4
121	1	val	pre	4
121	1	hunger	pre	7
121	1	deval	post	4
121	1	val	post	5
121	1	hunger	post	5
121	1	deval	afterExperiment	2
121	1	val	afterExperiment	4
121	1	hunger	afterExperiment	6
122	1	deval	pre	4
122	1	val	pre	3
122	1	hunger	pre	8
122	1	deval	post	4
122	1	val	post	4
122	1	hunger	post	6
122	1	deval	afterExperiment	1
122	1	val	afterExperiment	3
122	1	hunger	afterExperiment	7
124	1	deval	pre	4
124	1	val	pre	3
124	1	hunger	pre	4
124	1	deval	post	2
124	1	val	post	-3
124	1	hunger	post	3
124	1	deval	afterExperiment	2
124	1	val	afterExperiment	4
124	1	hunger	afterExperiment	3
126	1	deval	pre	2
126	1	val	pre	2
126	1	hunger	pre	6
126	1	deval	post	1
126	1	val	post	3
126	1	hunger	post	4
126	1	deval	afterExperiment	0
126	1	val	afterExperiment	2
126	1	hunger	afterExperiment	3
127	1	deval	pre	4
127	1	val	pre	5
127	1	hunger	pre	5
127	1	deval	post	2
127	1	val	post	4
127	1	hunger	post	4
127	1	deval	afterExperiment	-4
127	1	val	afterExperiment	5
127	1	hunger	afterExperiment	2
128	1	deval	pre	4
128	1	val	pre	5
128	1	hunger	pre	8
128	1	deval	post	-4
128	1	val	post	2
128	1	hunger	post	1
128	1	deval	afterExperiment	-4
128	1	val	afterExperiment	-3
128	1	hunger	afterExperiment	1
129	1	deval	pre	4
129	1	val	pre	4
129	1	hunger	pre	8
129	1	deval	post	1
129	1	val	post	4
129	1	hunger	post	6
129	1	deval	afterExperiment	3
129	1	val	afterExperiment	4
129	1	hunger	afterExperiment	4
130	1	deval	pre	4
130	1	val	pre	4
130	1	hunger	pre	3
130	1	deval	post	1
130	1	val	post	3
130	1	hunger	post	2
130	1	deval	afterExperiment	3
130	1	val	afterExperiment	3
130	1	hunger	afterExperiment	3
131	1	deval	pre	3
131	1	val	pre	5
131	1	hunger	pre	6
131	1	deval	post	1
131	1	val	post	5
131	1	hunger	post	6
131	1	deval	afterExperiment	-4
131	1	val	afterExperiment	4
131	1	hunger	afterExperiment	5
133	1	deval	pre	4
133	1	val	pre	3
133	1	hunger	pre	8
133	1	deval	post	1
133	1	val	post	-1
133	1	hunger	post	7
133	1	deval	afterExperiment	1
133	1	val	afterExperiment	3
133	1	hunger	afterExperiment	8
