"ID","Normscore","group","typeMeasure","Cluster"
"103",0.800176787015933,"1-Day","changeBehavior","Outcome-sensitive"
"104",0.295728531966918,"1-Day","changeBehavior","Outcome-insensitive"
"106",0.0106135284540656,"1-Day","changeBehavior","Outcome-insensitive"
"107",1.24679677929625,"1-Day","changeBehavior","Outcome-sensitive"
"108",0.134316089974799,"1-Day","changeBehavior","Outcome-insensitive"
"110",-0.0622622737525851,"1-Day","changeBehavior","Outcome-insensitive"
"113",0.219531728408498,"1-Day","changeBehavior","Outcome-insensitive"
"114",-0.0555854595748996,"1-Day","changeBehavior","Outcome-insensitive"
"115",-0.216615357265147,"1-Day","changeBehavior","Outcome-insensitive"
"117",0.266691045796094,"1-Day","changeBehavior","Outcome-insensitive"
"118",0.310239046300916,"1-Day","changeBehavior","Outcome-insensitive"
"119",2.29557461288722,"1-Day","changeBehavior","Outcome-sensitive"
"120",2.42509062960734,"1-Day","changeBehavior","Outcome-sensitive"
"121",0.019455208034719,"1-Day","changeBehavior","Outcome-insensitive"
"122",-0.0751758628834129,"1-Day","changeBehavior","Outcome-insensitive"
"124",1.54863050326116,"1-Day","changeBehavior","Outcome-sensitive"
"126",0.00368393603927775,"1-Day","changeBehavior","Outcome-insensitive"
"127",1.35014307816737,"1-Day","changeBehavior","Outcome-sensitive"
"128",1.23367709018292,"1-Day","changeBehavior","Outcome-sensitive"
"129",-0.122673248651964,"1-Day","changeBehavior","Outcome-insensitive"
"130",0.480849315382779,"1-Day","changeBehavior","Outcome-insensitive"
"131",2.59474944251423,"1-Day","changeBehavior","Outcome-sensitive"
"133",1.05989897880822,"1-Day","changeBehavior","Outcome-sensitive"
"135",1.45239391642805,"1-Day","changeBehavior","Outcome-sensitive"
"137",1.43029744582878,"1-Day","changeBehavior","Outcome-sensitive"
"138",0.44790503468301,"1-Day","changeBehavior","Outcome-insensitive"
"139",1.51759390497157,"1-Day","changeBehavior","Outcome-sensitive"
