ID	group	value	liking	contingency
103	1	deval	-1	5
103	1	val	3	5
103	1	baseline	0	0
104	1	deval	5	5
104	1	val	3	5
104	1	baseline	4	0
106	1	deval	3	-2
106	1	val	0	3
106	1	baseline	2	-2
107	1	deval	-3	5
107	1	val	3	5
107	1	baseline	0	0
108	1	deval	-2	5
108	1	val	1	5
108	1	baseline	-1	0
110	1	deval	-2	5
110	1	val	3	5
110	1	baseline	-3	0
113	1	deval	1	5
113	1	val	-1	5
113	1	baseline	-1	0
114	1	deval	-2	5
114	1	val	-1	5
114	1	baseline	-2	0
115	1	deval	3	5
115	1	val	1	5
115	1	baseline	0	0
117	1	deval	-3	5
117	1	val	5	5
117	1	baseline	4	0
118	1	deval	0	5
118	1	val	0	5
118	1	baseline	0	0
119	1	deval	-3	5
119	1	val	4	5
119	1	baseline	0	0
120	1	deval	-2	5
120	1	val	5	5
120	1	baseline	3	0
121	1	deval	0	5
121	1	val	3	5
121	1	baseline	-2	0
122	1	deval	2	-4
122	1	val	2	-4
122	1	baseline	0	5
124	1	deval	3	5
124	1	val	4	5
124	1	baseline	0	0
126	1	deval	-2	3
126	1	val	1	3
126	1	baseline	2	-2
127	1	deval	-1	5
127	1	val	-4	5
127	1	baseline	-2	0
128	1	deval	-4	5
128	1	val	-2	5
128	1	baseline	2	0
129	1	deval	0	5
129	1	val	0	5
129	1	baseline	0	0
130	1	deval	3	5
130	1	val	4	5
130	1	baseline	3	0
131	1	deval	-1	5
131	1	val	1	5
131	1	baseline	1	4
133	1	deval	3	5
133	1	val	2	5
133	1	baseline	0	0
135	1	deval	1	5
135	1	val	3	5
135	1	baseline	1	0
137	1	deval	0	5
137	1	val	0	5
137	1	baseline	2	0
138	1	deval	-4	3
138	1	val	3	2
138	1	baseline	4	-5
139	1	deval	-3	5
139	1	val	1	5
139	1	baseline	2	0
140	1	deval	-1	5
140	1	val	1	5
140	1	baseline	-2	-1
141	1	deval	0	5
141	1	val	5	5
141	1	baseline	0	0
142	1	deval	1	5
142	1	val	2	5
142	1	baseline	0	0
143	1	deval	-2	-5
143	1	val	-5	3
143	1	baseline	-4	5
144	1	deval	3	5
144	1	val	5	5
144	1	baseline	4	0
145	1	deval	0	5
145	1	val	0	5
145	1	baseline	2	0
146	1	deval	2	5
146	1	val	1	5
146	1	baseline	2	0
147	1	deval	1	2
147	1	val	0	-1
147	1	baseline	-2	-1
148	1	deval	3	-4
148	1	val	3	4
148	1	baseline	-2	-4
149	1	deval	1	2
149	1	val	3	5
149	1	baseline	-3	0
150	1	deval	1	5
150	1	val	1	5
150	1	baseline	2	0
151	1	deval	-2	5
151	1	val	3	4
151	1	baseline	-1	-5
152	1	deval	0	5
152	1	val	0	5
152	1	baseline	3	0
153	1	deval	2	5
153	1	val	3	5
153	1	baseline	2	0
154	1	deval	0	5
154	1	val	0	5
154	1	baseline	1	0
155	1	deval	3	5
155	1	val	2	5
155	1	baseline	2	0
156	1	deval	0	5
156	1	val	0	5
156	1	baseline	0	0
157	1	deval	3	5
157	1	val	5	5
157	1	baseline	-3	0
158	1	deval	-2	5
158	1	val	1	5
158	1	baseline	0	0
159	1	deval	5	5
159	1	val	2	5
159	1	baseline	5	0
160	1	deval	1	5
160	1	val	0	5
160	1	baseline	0	0
161	1	deval	4	5
161	1	val	4	5
161	1	baseline	3	0
162	1	deval	-2	1
162	1	val	-3	5
162	1	baseline	5	0
163	1	deval	-3	5
163	1	val	3	5
163	1	baseline	-1	0
164	1	deval	2	5
164	1	val	0	5
164	1	baseline	5	0
166	1	deval	0	5
166	1	val	2	5
166	1	baseline	3	0
167	1	deval	-2	5
167	1	val	1	5
167	1	baseline	-1	0
168	1	deval	-3	5
168	1	val	-2	-4
168	1	baseline	1	3
169	1	deval	-3	5
169	1	val	1	5
169	1	baseline	2	0
170	1	deval	0	4
170	1	val	0	3
170	1	baseline	0	0
171	1	deval	0	0
171	1	val	-1	5
171	1	baseline	-2	-5
172	1	deval	4	5
172	1	val	3	4
172	1	baseline	3	0
174	1	deval	3	5
174	1	val	5	5
174	1	baseline	4	0
175	1	deval	0	3
175	1	val	1	0
175	1	baseline	4	0
204	3	deval	-4	5
204	3	val	5	-5
204	3	baseline	3	5
205	3	deval	1	4
205	3	val	5	2
205	3	baseline	3	0
207	3	deval	2	5
207	3	val	0	5
207	3	baseline	-2	0
208	3	deval	4	5
208	3	val	5	5
208	3	baseline	2	0
209	3	deval	1	5
209	3	val	1	5
209	3	baseline	-4	0
210	3	deval	1	-3
210	3	val	3	2
210	3	baseline	2	-4
211	3	deval	-2	5
211	3	val	5	5
211	3	baseline	3	0
212	3	deval	5	5
212	3	val	5	5
212	3	baseline	5	0
214	3	deval	3	5
214	3	val	-3	5
214	3	baseline	2	0
215	3	deval	-1	5
215	3	val	2	5
215	3	baseline	-3	0
217	3	deval	-4	5
217	3	val	-3	5
217	3	baseline	-4	0
218	3	deval	0	-2
218	3	val	2	5
218	3	baseline	1	0
220	3	deval	2	-5
220	3	val	2	5
220	3	baseline	4	-5
221	3	deval	-5	5
221	3	val	-5	5
221	3	baseline	-5	0
223	3	deval	2	5
223	3	val	0	5
223	3	baseline	3	0
224	3	deval	2	5
224	3	val	2	5
224	3	baseline	4	0
225	3	deval	-3	5
225	3	val	4	-5
225	3	baseline	-1	0
227	3	deval	-5	5
227	3	val	2	5
227	3	baseline	-3	0
229	3	deval	-3	5
229	3	val	-2	5
229	3	baseline	0	0
230	3	deval	4	5
230	3	val	3	5
230	3	baseline	4	0
232	3	deval	3	5
232	3	val	2	5
232	3	baseline	3	0
234	3	deval	1	5
234	3	val	0	5
234	3	baseline	0	0
235	3	deval	0	5
235	3	val	-1	5
235	3	baseline	0	0
238	3	deval	2	5
238	3	val	3	5
238	3	baseline	0	0
239	3	deval	-1	5
239	3	val	1	5
239	3	baseline	-3	-5
240	3	deval	-1	-3
240	3	val	-3	2
240	3	baseline	-2	0
241	3	deval	0	5
241	3	val	-2	5
241	3	baseline	3	0
242	3	deval	-1	5
242	3	val	3	5
242	3	baseline	2	0
243	3	deval	-3	5
243	3	val	-3	5
243	3	baseline	-4	0
245	3	deval	5	5
245	3	val	5	5
245	3	baseline	5	0
247	3	deval	-1	5
247	3	val	4	5
247	3	baseline	5	0
248	3	deval	3	4
248	3	val	-4	5
248	3	baseline	5	-4
249	3	deval	4	5
249	3	val	5	5
249	3	baseline	2	0
251	3	deval	-2	3
251	3	val	0	0
251	3	baseline	2	-4
252	3	deval	0	-4
252	3	val	0	4
252	3	baseline	0	0
254	3	deval	4	5
254	3	val	3	5
254	3	baseline	-1	0
255	3	deval	1	5
255	3	val	-1	5
255	3	baseline	-2	0
257	3	deval	3	5
257	3	val	3	5
257	3	baseline	2	0
258	3	deval	-2	5
258	3	val	2	5
258	3	baseline	2	0
259	3	deval	0	5
259	3	val	1	5
259	3	baseline	-1	0
260	3	deval	4	5
260	3	val	2	5
260	3	baseline	-2	0
261	3	deval	-2	4
261	3	val	-1	3
261	3	baseline	0	0
262	3	deval	-1	5
262	3	val	2	5
262	3	baseline	0	0
263	3	deval	3	2
263	3	val	1	2
263	3	baseline	1	-2
264	3	deval	1	5
264	3	val	2	5
264	3	baseline	1	0
265	3	deval	2	5
265	3	val	2	5
265	3	baseline	1	0
267	3	deval	5	5
267	3	val	2	5
267	3	baseline	-3	0
268	3	deval	1	5
268	3	val	3	5
268	3	baseline	3	0
269	3	deval	0	-4
269	3	val	0	-5
269	3	baseline	0	-4
270	3	deval	3	5
270	3	val	4	5
270	3	baseline	4	0
271	3	deval	0	5
271	3	val	0	5
271	3	baseline	0	0
272	3	deval	-3	5
272	3	val	-3	5
272	3	baseline	-3	0
275	3	deval	-5	5
275	3	val	5	5
275	3	baseline	4	0
276	3	deval	-4	4
276	3	val	3	4
276	3	baseline	-1	-4
277	3	deval	-3	5
277	3	val	3	5
277	3	baseline	4	0
278	3	deval	-4	-5
278	3	val	4	5
278	3	baseline	4	0
280	3	deval	3	5
280	3	val	2	5
280	3	baseline	-2	0
281	3	deval	-1	5
281	3	val	1	5
281	3	baseline	0	0
282	3	deval	-4	5
282	3	val	-3	5
282	3	baseline	-5	0
283	3	deval	0	5
283	3	val	0	5
283	3	baseline	3	0
284	3	deval	-2	5
284	3	val	2	5
284	3	baseline	1	3
285	3	deval	-1	5
285	3	val	1	5
285	3	baseline	2	0
